1;A;FALSE;FALSE
2;A;FALSE;FALSE
3;O;FALSE;FALSE
4;M;FALSE;FALSE
5;A;FALSE;FALSE
6;C;FALSE;FALSE
7;C;FALSE;FALSE
8;A;FALSE;FALSE
9;A;FALSE;FALSE
10;M;FALSE;FALSE
11;C;FALSE;FALSE
12;A;FALSE;FALSE
13;C;FALSE;FALSE
14;M;FALSE;FALSE
15;O;FALSE;FALSE
16;O;FALSE;FALSE
17;A;TRUE;FALSE
18;A;FALSE;FALSE
19;M;FALSE;FALSE
20;A;FALSE;FALSE
21;C;FALSE;FALSE
22;A;FALSE;FALSE
23;M;FALSE;FALSE
24;A;FALSE;FALSE
25;O;FALSE;FALSE
26;O;TRUE;FALSE
27;M;FALSE;FALSE
28;A;FALSE;FALSE
29;M;FALSE;FALSE
30;O;TRUE;FALSE
31;O;FALSE;FALSE
32;A;FALSE;FALSE
33;A;FALSE;FALSE
34;M;FALSE;FALSE
35;O;FALSE;FALSE
36;A;FALSE;FALSE
37;M;FALSE;FALSE
38;M;FALSE;FALSE
39;A;FALSE;FALSE
40;A;FALSE;FALSE
41;A;FALSE;FALSE
42;A;FALSE;FALSE
43;A;FALSE;FALSE
44;A;FALSE;FALSE
45;A;FALSE;FALSE
46;O;FALSE;FALSE
47;A;FALSE;FALSE
48;A;FALSE;FALSE
49;M;FALSE;FALSE
50;O;FALSE;FALSE
51;M;FALSE;FALSE
52;M;FALSE;FALSE
53;M;TRUE;FALSE
54;A;FALSE;FALSE
55;A;FALSE;FALSE
56;A;FALSE;FALSE
57;C;FALSE;FALSE
58;A;FALSE;FALSE
59;C;TRUE;FALSE
60;A;FALSE;FALSE
61;C;FALSE;FALSE
62;O;FALSE;FALSE
63;A;FALSE;FALSE
64;M;FALSE;FALSE
65;A;FALSE;FALSE
66;A;FALSE;FALSE
67;M;FALSE;FALSE
68;A;FALSE;FALSE
69;M;FALSE;FALSE
70;A;FALSE;FALSE
71;A;FALSE;FALSE
72;O;TRUE;FALSE
73;A;FALSE;FALSE
74;M;FALSE;FALSE
75;A;FALSE;FALSE
76;O;FALSE;FALSE
77;A;FALSE;FALSE
78;M;FALSE;FALSE
79;M;FALSE;FALSE
80;A;FALSE;FALSE
81;A;FALSE;FALSE
82;M;FALSE;FALSE
83;A;FALSE;FALSE
84;A;FALSE;FALSE
85;A;FALSE;FALSE
86;A;FALSE;FALSE
87;M;FALSE;FALSE
88;A;FALSE;FALSE
